PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEERNPER,PRERNHLY,PEERNHRO
75008,35,10,63,4,2,41,1,1,28140,1,2400,40
75062,38,21,54,2,1,39,2,2,28140,1,750,15
75079,14,21,59,1,2,42,2,1,28140,1,1650,40
75080,38,22,59,1,1,42,2,1,28140,1,1000,35
75164,39,22,48,1,1,40,1,1,28140,1,2400,40
75190,10,21,21,6,1,39,2,1,28140,1,1185,40
75328,4,19,41,4,1,39,2,1,28140,1,2300,40
75332,19,21,42,6,1,39,2,1,28140,1,2013,40
82154,46,13,30,2,1,39,1,1,29820,1,1100,35
82155,36,7,39,6,2,44,1,1,29820,1,2200,40
82192,22,16,22,1,1,40,6,1,29820,1,1700,40
82193,22,16,22,1,2,42,6,2,29820,1,1435,32
82263,38,14,42,1,1,33,1,1,29820,1,1000,40
82301,42,10,38,1,2,41,1,1,29820,1,1060,40
82337,21,16,49,1,2,42,1,1,29820,1,1500,40
82343,7,16,37,4,2,41,1,1,29820,1,900,40
82376,38,17,40,1,2,39,2,1,29820,1,1799,40
82377,46,16,17,6,2,37,2,2,29820,1,825,20
82378,22,17,19,6,2,39,2,1,29820,1,825,40
82379,50,15,24,6,2,43,2,1,29820,1,815,40
82411,38,17,25,1,1,39,1,1,29820,1,1100,40
82414,46,13,34,6,1,39,1,2,29820,1,1006,30
82457,22,17,80,4,2,39,1,2,29820,1,1000,20
82505,27,17,43,6,1,39,1,1,29820,1,1500,40
82506,30,17,20,6,1,39,1,1,29820,1,1500,40
82550,45,16,22,6,2,39,2,2,29820,1,900,30
82575,38,14,29,6,1,39,1,1,29820,1,1575,40
82576,38,14,51,1,2,33,1,2,29820,1,825,20
82577,4,19,52,1,1,33,1,1,29820,1,1500,40
82579,38,14,25,6,1,37,1,1,29820,1,1600,40
82582,41,3,57,4,2,42,2,1,29820,1,3900,40
82583,4,2,29,4,1,39,2,1,29820,1,1450,40
82586,21,17,56,1,2,39,1,1,29820,1,1400,40
82708,46,16,20,6,2,37,1,1,29820,1,900,35
82732,4,22,37,6,1,38,1,1,29820,1,1818,60
82735,22,22,44,1,2,39,1,1,29820,1,745,40
82736,40,14,42,1,1,39,1,1,29820,1,1200,40
82771,41,10,39,6,2,43,1,1,29820,1,4200,40
82788,49,14,53,6,1,39,1,1,29820,1,1200,40
82838,44,22,53,1,1,44,1,1,29820,1,3000,40
82839,44,9,29,1,2,42,1,1,29820,1,3000,40
82862,22,16,38,6,2,43,1,1,29820,1,1000,40
82900,38,17,21,6,2,39,2,1,29820,1,1000,40
82955,40,10,25,6,2,43,1,1,29820,1,2300,38
82961,46,13,38,4,1,43,2,1,29820,1,1000,40
82985,40,8,50,4,2,41,1,1,29820,1,1500,40
83013,45,12,43,4,2,42,1,1,29820,1,1606,40
83030,38,12,57,1,1,40,4,1,29820,1,1000,40
86122,46,13,33,6,1,43,4,1,35620,1,950,35
86127,51,2,58,6,2,39,2,1,35620,1,2250,40
86140,41,17,36,1,2,40,2,1,35620,1,1400,40
92105,46,13,15,6,1,34,1,2,35620,1,1000,20
92106,46,13,15,6,1,34,1,2,35620,1,1000,20
