PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,GTCBSA,PRFTLF,PRUNEDUR,PRUNTYPE,PELKM1,PULKM2,PULKM3,PULKM4,PULKM5,PULKM6
67138,46,16,20,6,2,37,2,19820,1,13,5,6,9,-1,-1,-1,-1
67139,42,11,23,6,2,39,2,19820,1,9,5,6,9,-1,-1,-1,-1
67265,22,17,18,6,1,37,2,19820,1,2,5,6,-1,-1,-1,-1,-1
67371,6,21,34,6,2,40,2,19820,2,35,2,2,3,-1,-1,-1,-1
67471,38,22,31,6,1,39,2,19820,1,4,5,6,-1,-1,-1,-1,-1
70266,-1,-1,15,6,2,35,1,33460,2,4,6,1,-1,-1,-1,-1,-1
70322,50,14,24,1,1,39,1,33460,1,22,5,10,1,-1,-1,-1,-1
70329,48,15,24,1,2,40,1,33460,1,1,3,1,6,-1,-1,-1,-1
70396,46,13,36,6,1,39,1,33460,2,2,5,1,-1,-1,-1,-1,-1
70421,33,2,32,4,2,39,1,33460,1,2,5,10,4,-1,-1,-1,-1
70427,-1,-1,25,6,2,40,2,33460,1,6,6,8,6,4,-1,-1,-1
75029,4,1,54,3,2,36,1,28140,1,91,2,6,-1,-1,-1,-1,-1
75110,38,12,35,1,1,44,1,28140,1,9,2,6,10,-1,-1,-1,-1
75158,4,19,41,6,1,40,2,28140,1,8,5,6,-1,-1,-1,-1,-1
75225,38,14,24,6,2,39,2,28140,1,104,3,2,6,8,-1,-1,-1
75262,46,13,30,6,2,39,1,28140,1,3,5,1,4,12,-1,-1,-1
82146,4,19,34,1,1,32,3,29820,1,104,2,4,-1,-1,-1,-1,-1
82209,22,16,57,4,2,39,1,29820,1,35,2,1,6,10,2,-1,-1
82276,-1,-1,45,1,2,39,2,29820,1,52,6,2,3,4,-1,-1,-1
82307,44,15,57,5,1,43,2,29820,1,16,2,1,3,-1,-1,-1,-1
82375,23,22,40,1,1,39,2,29820,1,25,4,13,-1,-1,-1,-1,-1
82409,33,2,56,4,1,43,2,29820,1,119,5,10,6,-1,-1,-1,-1
82418,36,7,53,4,2,39,1,29820,1,5,5,6,-1,-1,-1,-1,-1
82441,46,13,31,1,2,35,1,29820,1,2,3,1,6,10,-1,-1,-1
82546,32,17,31,6,2,40,2,29820,1,35,2,1,6,10,-1,-1,-1
82587,21,19,50,1,1,36,1,29820,1,25,2,1,12,10,6,-1,-1
82703,46,13,21,6,1,39,5,29820,1,104,5,4,-1,-1,-1,-1,-1
82719,42,11,48,2,2,40,1,29820,1,4,5,10,6,9,-1,-1,-1
82793,22,1,54,1,2,39,1,29820,1,30,2,1,2,4,6,8,10
82860,46,13,19,6,2,39,1,29820,1,8,4,6,4,-1,-1,-1,-1
82940,44,16,51,1,2,40,2,29820,1,17,2,6,8,10,-1,-1,-1
82947,51,1,69,4,1,43,1,29820,1,44,5,10,9,-1,-1,-1,-1
86104,43,8,57,4,2,42,1,35620,1,7,2,1,6,3,-1,-1,-1
86138,4,17,49,6,2,39,2,35620,1,35,2,2,10,-1,-1,-1,-1
86143,36,3,32,1,2,44,4,35620,1,108,2,1,-1,-1,-1,-1,-1
86180,32,16,39,6,1,42,2,35620,1,52,2,12,-1,-1,-1,-1,-1
92207,50,15,61,1,2,39,4,35620,1,119,2,1,-1,-1,-1,-1,-1
92319,46,13,35,1,1,39,4,35620,1,52,5,4,8,1,-1,-1,-1
92335,-1,-1,22,6,1,39,1,35620,1,35,6,1,8,4,-1,-1,-1
92482,36,16,53,1,2,43,4,35620,1,25,2,1,-1,-1,-1,-1,-1
92483,-1,-1,25,6,1,43,4,35620,1,65,6,6,-1,-1,-1,-1,-1
92494,46,13,25,6,1,43,1,35620,1,22,5,6,2,9,-1,-1,-1
92496,23,22,52,6,1,39,2,35620,1,0,2,1,2,3,4,6,10
92502,22,22,21,6,1,39,2,35620,1,4,5,6,-1,-1,-1,-1,-1
92615,47,21,70,1,1,43,4,35620,2,26,5,1,-1,-1,-1,-1,-1
92621,46,13,21,6,1,41,1,35620,1,12,5,1,-1,-1,-1,-1,-1
92654,4,19,29,1,1,41,1,35620,1,4,4,1,-1,-1,-1,-1,-1
